experiment,model,epochs
fine_tune_resnet,resnet18,6
fine_tune_resnet,resnet34,2
fine_tune_resnet,resnet50,2
fine_tune_resnet,resnet101,2
fine_tune_resnet,resnet152,2
train_resnet,resnet18,6
train_resnet,resnet34,18
train_resnet,resnet50,21
train_resnet,resnet101,12
train_resnet,resnet152,3
fine_tune_kd,resnet18,22
fine_tune_kd,resnet34,9
fine_tune_kd,resnet50,5
fine_tune_kd,resnet101,5
fine_tune_kd,resnet152,5
train_kd,resnet18,6
train_kd,resnet34,5
train_kd,resnet50,6
train_kd,resnet101,5
train_kd,resnet152,17
train_student_fine_tune_teacher_kd,resnet18,4
train_student_fine_tune_teacher_kd,resnet34,9
train_student_fine_tune_teacher_kd,resnet50,4
train_student_fine_tune_teacher_kd,resnet101,7
train_student_fine_tune_teacher_kd,resnet152,15